;FIG;Weinstock
1076;FIG|691.12.PEG.20;BA890_RS13985
1077;FIG|691.12.PEG.200;BA890_RS12010
1078;FIG|691.12.PEG.2000;BA890_RS02980
1079;FIG|691.12.PEG.2001;BA890_RS02975
1080;FIG|691.12.PEG.2002;BA890_RS02970
1081;FIG|691.12.PEG.2003;BA890_RS02965
1082;FIG|691.12.PEG.2004;BA890_RS02960
1083;FIG|691.12.PEG.2005;BA890_RS02955
1084;FIG|691.12.PEG.2006;BA890_RS02950
1085;FIG|691.12.PEG.2007;BA890_RS02945
1086;FIG|691.12.PEG.2008;BA890_RS02940
1087;FIG|691.12.PEG.2009;BA890_RS02935
1088;FIG|691.12.PEG.201;BA890_RS12005
1089;FIG|691.12.PEG.2010;BA890_RS02930
1090;FIG|691.12.PEG.2011;BA890_RS02925
1091;FIG|691.12.PEG.2012;BA890_RS02920
1092;FIG|691.12.PEG.2013;BA890_RS02915
1093;FIG|691.12.PEG.2014;BA890_RS02910
1094;FIG|691.12.PEG.2015;BA890_RS02905
1095;FIG|691.12.PEG.2016;BA890_RS02900
1096;FIG|691.12.PEG.2017;BA890_RS02895
1097;FIG|691.12.PEG.2018;BA890_RS02890
1098;FIG|691.12.PEG.202;BA890_RS12000
1099;FIG|691.12.PEG.2020;BA890_RS02885
1100;FIG|691.12.PEG.2021;BA890_RS02880
1101;FIG|691.12.PEG.2022;BA890_RS02875
1102;FIG|691.12.PEG.2023;BA890_RS02870
1103;FIG|691.12.PEG.2024;BA890_RS02865
1104;FIG|691.12.PEG.2025;BA890_RS02860
1105;FIG|691.12.PEG.2026;BA890_RS02855
1106;FIG|691.12.PEG.2027;BA890_RS02850
1107;FIG|691.12.PEG.2028;BA890_RS02845
1108;FIG|691.12.PEG.2029;BA890_RS02840
1109;FIG|691.12.PEG.203;BA890_RS11995
1110;FIG|691.12.PEG.2030;BA890_RS02835
1111;FIG|691.12.PEG.2031;BA890_RS02830
1112;FIG|691.12.PEG.2032;BA890_RS02825
1113;FIG|691.12.PEG.2033;BA890_RS02820
1114;FIG|691.12.PEG.2034;BA890_RS02815
1115;FIG|691.12.PEG.2035;BA890_RS02810
1116;FIG|691.12.PEG.2036;BA890_RS02805
1117;FIG|691.12.PEG.2037;BA890_RS02800
1118;FIG|691.12.PEG.2038;BA890_RS02795
1119;FIG|691.12.PEG.2039;BA890_RS02790
1120;FIG|691.12.PEG.204;BA890_RS11990
1121;FIG|691.12.PEG.2040;BA890_RS02785
1122;FIG|691.12.PEG.2041;BA890_RS02780
1123;FIG|691.12.PEG.2042;BA890_RS02775
1124;FIG|691.12.PEG.2043;BA890_RS02770
1125;FIG|691.12.PEG.2044;BA890_RS02765
1126;FIG|691.12.PEG.2045;BA890_RS02760
1127;FIG|691.12.PEG.2046;BA890_RS02755
1128;FIG|691.12.PEG.2047;BA890_RS02750
1129;FIG|691.12.PEG.2048;BA890_RS02745
1130;FIG|691.12.PEG.2049;BA890_RS02740
1131;FIG|691.12.PEG.205;BA890_RS11985
1132;FIG|691.12.PEG.2050;BA890_RS02735
1133;FIG|691.12.PEG.2051;BA890_RS02730
1134;FIG|691.12.PEG.2052;BA890_RS02725
1135;FIG|691.12.PEG.2053;BA890_RS02720
1136;FIG|691.12.PEG.2054;BA890_RS02715
1137;FIG|691.12.PEG.2055;BA890_RS02710
1138;FIG|691.12.PEG.2056;BA890_RS02705
1139;FIG|691.12.PEG.2057;BA890_RS02700
1140;FIG|691.12.PEG.2058;BA890_RS02695
1141;FIG|691.12.PEG.2059;BA890_RS02690
1142;FIG|691.12.PEG.206;BA890_RS11980
1143;FIG|691.12.PEG.2060;BA890_RS02680
1144;FIG|691.12.PEG.2061;BA890_RS02675
1145;FIG|691.12.PEG.2062;BA890_RS02670
1146;FIG|691.12.PEG.2063;BA890_RS02665
1147;FIG|691.12.PEG.2064;BA890_RS02660
1148;FIG|691.12.PEG.2065;BA890_RS02655
1149;FIG|691.12.PEG.2066;BA890_RS02630
1150;FIG|691.12.PEG.2067;BA890_RS02610
1151;FIG|691.12.PEG.2068;BA890_RS02605
1152;FIG|691.12.PEG.2069;BA890_RS02600
1153;FIG|691.12.PEG.207;BA890_RS11975
1154;FIG|691.12.PEG.2070;BA890_RS02595
1155;FIG|691.12.PEG.2071;BA890_RS02590
1156;FIG|691.12.PEG.2072;BA890_RS02585
1157;FIG|691.12.PEG.2073;BA890_RS02580
1158;FIG|691.12.PEG.2074;BA890_RS02575
1159;FIG|691.12.PEG.2075;BA890_RS02570
1160;FIG|691.12.PEG.2076;BA890_RS02565
1161;FIG|691.12.PEG.2077;BA890_RS02560
1162;FIG|691.12.PEG.2078;BA890_RS02555
1163;FIG|691.12.PEG.2079;BA890_RS02550
1164;FIG|691.12.PEG.208;BA890_RS11970
1165;FIG|691.12.PEG.2080;BA890_RS02545
1166;FIG|691.12.PEG.2081;BA890_RS02540
1167;FIG|691.12.PEG.2082;BA890_RS02535
1168;FIG|691.12.PEG.2083;BA890_RS02530
1169;FIG|691.12.PEG.2084;BA890_RS02525
1170;FIG|691.12.PEG.2085;BA890_RS02520
1171;FIG|691.12.PEG.2086;BA890_RS02515
1172;FIG|691.12.PEG.2087;BA890_RS02510
1173;FIG|691.12.PEG.2088;BA890_RS02505
1174;FIG|691.12.PEG.2089;BA890_RS02500
1175;FIG|691.12.PEG.209;BA890_RS11965
1176;FIG|691.12.PEG.2090;BA890_RS02495
1177;FIG|691.12.PEG.2092;BA890_RS02490
1178;FIG|691.12.PEG.2093;BA890_RS02485
1179;FIG|691.12.PEG.2094;BA890_RS02480
1180;FIG|691.12.PEG.2095;BA890_RS02475
1181;FIG|691.12.PEG.2096;BA890_RS02470
1182;FIG|691.12.PEG.2097;BA890_RS02465
1183;FIG|691.12.PEG.2098;BA890_RS02460
1184;FIG|691.12.PEG.2099;BA890_RS02455
1185;FIG|691.12.PEG.21;BA890_RS13980
1186;FIG|691.12.PEG.210;BA890_RS11960
1187;FIG|691.12.PEG.2100;BA890_RS02450
1188;FIG|691.12.PEG.2101;BA890_RS02445
1189;FIG|691.12.PEG.2102;BA890_RS02440
1190;FIG|691.12.PEG.2103;BA890_RS02435
1191;FIG|691.12.PEG.2104;BA890_RS02430
1192;FIG|691.12.PEG.2105;BA890_RS02425
1193;FIG|691.12.PEG.2106;BA890_RS02420
1194;FIG|691.12.PEG.2107;BA890_RS02415
1195;FIG|691.12.PEG.2108;BA890_RS02410
1196;FIG|691.12.PEG.2109;BA890_RS02405
1197;FIG|691.12.PEG.211;BA890_RS11955
1198;FIG|691.12.PEG.2110;BA890_RS02400
1199;FIG|691.12.PEG.2111;BA890_RS02395
1200;FIG|691.12.PEG.2112;BA890_RS02390
1201;FIG|691.12.PEG.2113;BA890_RS02385
1202;FIG|691.12.PEG.2114;BA890_RS02380
1203;FIG|691.12.PEG.2116;BA890_RS02375
1204;FIG|691.12.PEG.2117;BA890_RS02370
1205;FIG|691.12.PEG.2119;BA890_RS02360
1206;FIG|691.12.PEG.212;BA890_RS11950
1207;FIG|691.12.PEG.2120;BA890_RS02355
1208;FIG|691.12.PEG.2121;BA890_RS02350
1209;FIG|691.12.PEG.2122;BA890_RS02345
1210;FIG|691.12.PEG.2123;BA890_RS02340
1211;FIG|691.12.PEG.2124;BA890_RS02335
1212;FIG|691.12.PEG.2125;BA890_RS02330
1213;FIG|691.12.PEG.2126;BA890_RS02325
1214;FIG|691.12.PEG.2127;BA890_RS02320
1215;FIG|691.12.PEG.2129;BA890_RS02315
1216;FIG|691.12.PEG.213;BA890_RS11945
1217;FIG|691.12.PEG.2130;BA890_RS02310
1218;FIG|691.12.PEG.2131;BA890_RS02305
1219;FIG|691.12.PEG.2132;BA890_RS02300
1220;FIG|691.12.PEG.2133;BA890_RS02295
1221;FIG|691.12.PEG.2134;BA890_RS02290
1222;FIG|691.12.PEG.2135;BA890_RS02285
1223;FIG|691.12.PEG.2136;BA890_RS02280
1224;FIG|691.12.PEG.2137;BA890_RS02275
1225;FIG|691.12.PEG.2138;BA890_RS02270
1226;FIG|691.12.PEG.2139;BA890_RS02265
1227;FIG|691.12.PEG.214;BA890_RS11940
1228;FIG|691.12.PEG.2140;BA890_RS02260
1229;FIG|691.12.PEG.2141;BA890_RS02255
1230;FIG|691.12.PEG.2142;BA890_RS02250
1231;FIG|691.12.PEG.2143;BA890_RS02245
1232;FIG|691.12.PEG.2144;BA890_RS02240
1233;FIG|691.12.PEG.2145;BA890_RS02235
1234;FIG|691.12.PEG.2146;BA890_RS02230
1235;FIG|691.12.PEG.2147;BA890_RS02225
1236;FIG|691.12.PEG.2148;BA890_RS02220
1237;FIG|691.12.PEG.2149;BA890_RS02215
1238;FIG|691.12.PEG.215;BA890_RS11935
1239;FIG|691.12.PEG.2150;BA890_RS02210
1240;FIG|691.12.PEG.2151;BA890_RS02205
1241;FIG|691.12.PEG.2152;BA890_RS02200
1242;FIG|691.12.PEG.2153;BA890_RS02190
1243;FIG|691.12.PEG.2154;BA890_RS02185
1244;FIG|691.12.PEG.2155;BA890_RS02180
1245;FIG|691.12.PEG.2156;BA890_RS02175
1246;FIG|691.12.PEG.2157;BA890_RS02170
1247;FIG|691.12.PEG.2158;BA890_RS02165
1248;FIG|691.12.PEG.2159;BA890_RS02160
1249;FIG|691.12.PEG.216;BA890_RS11930
1250;FIG|691.12.PEG.2160;BA890_RS02155
1251;FIG|691.12.PEG.2161;BA890_RS02150
1252;FIG|691.12.PEG.2162;BA890_RS02145
1253;FIG|691.12.PEG.2163;BA890_RS02140
1254;FIG|691.12.PEG.2164;BA890_RS02135
1255;FIG|691.12.PEG.2165;BA890_RS02130
1256;FIG|691.12.PEG.2166;BA890_RS02125
1257;FIG|691.12.PEG.2167;BA890_RS02120
1258;FIG|691.12.PEG.2168;BA890_RS02115
1259;FIG|691.12.PEG.2169;BA890_RS02110
1260;FIG|691.12.PEG.217;BA890_RS11925
1261;FIG|691.12.PEG.2170;BA890_RS02105
1262;FIG|691.12.PEG.2171;BA890_RS02100
1263;FIG|691.12.PEG.2172;BA890_RS02095
1264;FIG|691.12.PEG.2173;BA890_RS02090
1265;FIG|691.12.PEG.2174;BA890_RS02080
1266;FIG|691.12.PEG.2175;BA890_RS02075
1267;FIG|691.12.PEG.2176;BA890_RS02070
1268;FIG|691.12.PEG.2177;BA890_RS02065
1269;FIG|691.12.PEG.2178;BA890_RS02060
1270;FIG|691.12.PEG.2179;BA890_RS02055
1271;FIG|691.12.PEG.218;BA890_RS11920
1272;FIG|691.12.PEG.2180;BA890_RS02050
1273;FIG|691.12.PEG.2181;BA890_RS02045
1274;FIG|691.12.PEG.2182;BA890_RS02040
1275;FIG|691.12.PEG.2183;BA890_RS02035
1276;FIG|691.12.PEG.2184;BA890_RS02030
1277;FIG|691.12.PEG.2185;BA890_RS02025
1278;FIG|691.12.PEG.2186;BA890_RS02020
1279;FIG|691.12.PEG.2187;BA890_RS02015
1280;FIG|691.12.PEG.2188;BA890_RS02010
1281;FIG|691.12.PEG.2189;BA890_RS02005
1282;FIG|691.12.PEG.219;BA890_RS11915
1283;FIG|691.12.PEG.2190;BA890_RS02000
1284;FIG|691.12.PEG.2191;BA890_RS01995
1285;FIG|691.12.PEG.2192;BA890_RS01990
1286;FIG|691.12.PEG.2193;BA890_RS01985
1287;FIG|691.12.PEG.2194;BA890_RS01980
1288;FIG|691.12.PEG.2195;BA890_RS01975
1289;FIG|691.12.PEG.2196;BA890_RS01970
1290;FIG|691.12.PEG.2197;BA890_RS01965
1291;FIG|691.12.PEG.2198;BA890_RS01960
1292;FIG|691.12.PEG.2199;BA890_RS01955
1293;FIG|691.12.PEG.22;BA890_RS13975
1294;FIG|691.12.PEG.220;BA890_RS11910
1295;FIG|691.12.PEG.2200;BA890_RS01950
1296;FIG|691.12.PEG.2201;BA890_RS01945
1297;FIG|691.12.PEG.2202;BA890_RS01940
1298;FIG|691.12.PEG.2203;BA890_RS01935
1299;FIG|691.12.PEG.2204;BA890_RS01930
1300;FIG|691.12.PEG.2205;BA890_RS01925
1301;FIG|691.12.PEG.2206;BA890_RS01920
1302;FIG|691.12.PEG.2207;BA890_RS01915
1303;FIG|691.12.PEG.2208;BA890_RS01910
1304;FIG|691.12.PEG.2209;BA890_RS01905
1305;FIG|691.12.PEG.221;BA890_RS11905
1306;FIG|691.12.PEG.2210;BA890_RS01900
1307;FIG|691.12.PEG.2211;BA890_RS01895
1308;FIG|691.12.PEG.2212;BA890_RS01890
1309;FIG|691.12.PEG.2213;BA890_RS01885
1310;FIG|691.12.PEG.2214;BA890_RS01880
1311;FIG|691.12.PEG.2215;BA890_RS01875
1312;FIG|691.12.PEG.2216;BA890_RS01870
1313;FIG|691.12.PEG.2217;BA890_RS01865
1314;FIG|691.12.PEG.2218;BA890_RS01855
1315;FIG|691.12.PEG.2219;BA890_RS01850
1316;FIG|691.12.PEG.222;BA890_RS11900
1317;FIG|691.12.PEG.2221;BA890_RS01845
1318;FIG|691.12.PEG.2222;BA890_RS01840
1319;FIG|691.12.PEG.2223;BA890_RS01835
1320;FIG|691.12.PEG.2224;BA890_RS01830
1321;FIG|691.12.PEG.2225;BA890_RS01825
1322;FIG|691.12.PEG.2226;BA890_RS01820
1323;FIG|691.12.PEG.2227;BA890_RS01815
1324;FIG|691.12.PEG.2228;BA890_RS01810
1325;FIG|691.12.PEG.2229;BA890_RS01805
1326;FIG|691.12.PEG.223;BA890_RS11895
1327;FIG|691.12.PEG.2230;BA890_RS01800
1328;FIG|691.12.PEG.2231;BA890_RS01795
1329;FIG|691.12.PEG.2232;BA890_RS01790
1330;FIG|691.12.PEG.2233;BA890_RS01785
1331;FIG|691.12.PEG.2234;BA890_RS01780
1332;FIG|691.12.PEG.2235;BA890_RS01775
1333;FIG|691.12.PEG.2236;BA890_RS01770
1334;FIG|691.12.PEG.2237;BA890_RS01765
1335;FIG|691.12.PEG.2238;BA890_RS01760
1336;FIG|691.12.PEG.2239;BA890_RS01755
1337;FIG|691.12.PEG.224;BA890_RS11890
1338;FIG|691.12.PEG.2240;BA890_RS01750
1339;FIG|691.12.PEG.2241;BA890_RS01745
1340;FIG|691.12.PEG.2242;BA890_RS01740
1341;FIG|691.12.PEG.2243;BA890_RS01735
1342;FIG|691.12.PEG.2244;BA890_RS01730
1343;FIG|691.12.PEG.2245;BA890_RS01725
1344;FIG|691.12.PEG.2246;BA890_RS01720
1345;FIG|691.12.PEG.2247;BA890_RS01715
1346;FIG|691.12.PEG.2248;BA890_RS01710
1347;FIG|691.12.PEG.2249;BA890_RS01705
1348;FIG|691.12.PEG.225;BA890_RS11885
1349;FIG|691.12.PEG.2250;BA890_RS01700
1350;FIG|691.12.PEG.2251;BA890_RS01695
1351;FIG|691.12.PEG.2252;BA890_RS01690
1352;FIG|691.12.PEG.2253;BA890_RS01685
1353;FIG|691.12.PEG.2254;BA890_RS01680
1354;FIG|691.12.PEG.2255;BA890_RS01675
1355;FIG|691.12.PEG.2256;BA890_RS01670
1356;FIG|691.12.PEG.2257;BA890_RS01665
1357;FIG|691.12.PEG.2258;BA890_RS01660
1358;FIG|691.12.PEG.2259;BA890_RS01655
1359;FIG|691.12.PEG.226;BA890_RS11880
1360;FIG|691.12.PEG.2260;BA890_RS01650
1361;FIG|691.12.PEG.2261;BA890_RS01645
1362;FIG|691.12.PEG.2262;BA890_RS01640
1363;FIG|691.12.PEG.2263;BA890_RS01635
1364;FIG|691.12.PEG.2264;BA890_RS01630
1365;FIG|691.12.PEG.2265;BA890_RS01625
1366;FIG|691.12.PEG.2266;BA890_RS01620
1367;FIG|691.12.PEG.2267;BA890_RS01615
1368;FIG|691.12.PEG.2268;BA890_RS01610
1369;FIG|691.12.PEG.2269;BA890_RS01605
1370;FIG|691.12.PEG.227;BA890_RS11875
1371;FIG|691.12.PEG.2270;BA890_RS01600
1372;FIG|691.12.PEG.2271;BA890_RS01595
1373;FIG|691.12.PEG.2272;BA890_RS01590
1374;FIG|691.12.PEG.2273;BA890_RS01585
1375;FIG|691.12.PEG.2274;BA890_RS01580
1376;FIG|691.12.PEG.2275;BA890_RS01575
1377;FIG|691.12.PEG.2276;BA890_RS01570
1378;FIG|691.12.PEG.2277;BA890_RS01565
1379;FIG|691.12.PEG.2278;BA890_RS01560
1380;FIG|691.12.PEG.2279;BA890_RS01555
1381;FIG|691.12.PEG.228;BA890_RS11870
1382;FIG|691.12.PEG.2280;BA890_RS01550
1383;FIG|691.12.PEG.2281;BA890_RS23285
1384;FIG|691.12.PEG.2282;BA890_RS01545
1385;FIG|691.12.PEG.2283;BA890_RS01540
1386;FIG|691.12.PEG.2284;BA890_RS01535
1387;FIG|691.12.PEG.2285;BA890_RS01530
1388;FIG|691.12.PEG.2286;BA890_RS01525
1389;FIG|691.12.PEG.2287;BA890_RS01520
1390;FIG|691.12.PEG.2288;BA890_RS01515
1391;FIG|691.12.PEG.2289;BA890_RS01510
1392;FIG|691.12.PEG.229;BA890_RS11865
1393;FIG|691.12.PEG.2290;BA890_RS01505
1394;FIG|691.12.PEG.2291;BA890_RS01500
1395;FIG|691.12.PEG.2292;BA890_RS01495
1396;FIG|691.12.PEG.2293;BA890_RS01490
1397;FIG|691.12.PEG.2294;BA890_RS01485
1398;FIG|691.12.PEG.2295;BA890_RS01480
1399;FIG|691.12.PEG.2296;BA890_RS01475
1400;FIG|691.12.PEG.2297;BA890_RS01470
1401;FIG|691.12.PEG.2298;BA890_RS01465
1402;FIG|691.12.PEG.2299;BA890_RS01460
1403;FIG|691.12.PEG.23;BA890_RS13970
1404;FIG|691.12.PEG.230;BA890_RS11860
1405;FIG|691.12.PEG.2300;BA890_RS01455
1406;FIG|691.12.PEG.2301;BA890_RS01450
1407;FIG|691.12.PEG.2302;BA890_RS01445
1408;FIG|691.12.PEG.2303;BA890_RS01440
1409;FIG|691.12.PEG.2304;BA890_RS01435
1410;FIG|691.12.PEG.2305;BA890_RS01430
1411;FIG|691.12.PEG.2306;BA890_RS01425
1412;FIG|691.12.PEG.2307;BA890_RS01420
1413;FIG|691.12.PEG.2308;BA890_RS01415
1414;FIG|691.12.PEG.2309;BA890_RS01410
1415;FIG|691.12.PEG.231;BA890_RS11855
1416;FIG|691.12.PEG.2310;BA890_RS01405
1417;FIG|691.12.PEG.2311;BA890_RS01400
1418;FIG|691.12.PEG.2312;BA890_RS01395
1419;FIG|691.12.PEG.2313;BA890_RS01390
1420;FIG|691.12.PEG.2314;BA890_RS01385
1421;FIG|691.12.PEG.2315;BA890_RS01380
1422;FIG|691.12.PEG.2316;BA890_RS01375
1423;FIG|691.12.PEG.2317;BA890_RS01370
1424;FIG|691.12.PEG.2318;BA890_RS01365
1425;FIG|691.12.PEG.2319;BA890_RS01360
1426;FIG|691.12.PEG.232;BA890_RS11850
1427;FIG|691.12.PEG.2320;BA890_RS01355
1428;FIG|691.12.PEG.2321;BA890_RS01350
1429;FIG|691.12.PEG.2322;BA890_RS01345
1430;FIG|691.12.PEG.2323;BA890_RS01340
1431;FIG|691.12.PEG.2324;BA890_RS01335
1432;FIG|691.12.PEG.2325;BA890_RS01330
1433;FIG|691.12.PEG.2326;BA890_RS01325
1434;FIG|691.12.PEG.2327;BA890_RS01320
1435;FIG|691.12.PEG.2328;BA890_RS01315
1436;FIG|691.12.PEG.2329;BA890_RS01310
1437;FIG|691.12.PEG.233;BA890_RS11845
1438;FIG|691.12.PEG.2330;BA890_RS01305
1439;FIG|691.12.PEG.2331;BA890_RS01300
1440;FIG|691.12.PEG.2332;BA890_RS01295
1441;FIG|691.12.PEG.2333;BA890_RS01290
1442;FIG|691.12.PEG.2334;BA890_RS01285
1443;FIG|691.12.PEG.2335;BA890_RS01280
1444;FIG|691.12.PEG.2336;BA890_RS01275
1445;FIG|691.12.PEG.2337;BA890_RS01270
1446;FIG|691.12.PEG.2338;BA890_RS01265
1447;FIG|691.12.PEG.2339;BA890_RS01260
1448;FIG|691.12.PEG.234;BA890_RS11840
1449;FIG|691.12.PEG.2340;BA890_RS01255
1450;FIG|691.12.PEG.2341;BA890_RS01250
1451;FIG|691.12.PEG.2342;BA890_RS01245
1452;FIG|691.12.PEG.2343;BA890_RS01240
1453;FIG|691.12.PEG.2344;BA890_RS01235
1454;FIG|691.12.PEG.2345;BA890_RS01230
1455;FIG|691.12.PEG.2346;BA890_RS01225
1456;FIG|691.12.PEG.2347;BA890_RS01220
1457;FIG|691.12.PEG.2348;BA890_RS01215
1458;FIG|691.12.PEG.2349;BA890_RS01210
1459;FIG|691.12.PEG.235;BA890_RS11835
1460;FIG|691.12.PEG.2350;BA890_RS01205
1461;FIG|691.12.PEG.2351;BA890_RS01200
1462;FIG|691.12.PEG.2352;BA890_RS01195
1463;FIG|691.12.PEG.2353;BA890_RS01190
1464;FIG|691.12.PEG.2354;BA890_RS01185
1465;FIG|691.12.PEG.2355;BA890_RS01180
1466;FIG|691.12.PEG.2356;BA890_RS01175
1467;FIG|691.12.PEG.2357;BA890_RS01170
1468;FIG|691.12.PEG.2358;BA890_RS01165
1469;FIG|691.12.PEG.2359;BA890_RS01160
1470;FIG|691.12.PEG.236;BA890_RS11830
1471;FIG|691.12.PEG.2360;BA890_RS01155
1472;FIG|691.12.PEG.2361;BA890_RS01150
1473;FIG|691.12.PEG.2364;BA890_RS01145
1474;FIG|691.12.PEG.2365;BA890_RS01140
1475;FIG|691.12.PEG.2366;BA890_RS01135
1476;FIG|691.12.PEG.2367;BA890_RS01130
1477;FIG|691.12.PEG.2368;BA890_RS01125
1478;FIG|691.12.PEG.2369;BA890_RS01120
1479;FIG|691.12.PEG.237;BA890_RS11825
1480;FIG|691.12.PEG.2370;BA890_RS01115
1481;FIG|691.12.PEG.2371;BA890_RS01110
1482;FIG|691.12.PEG.2372;BA890_RS01105
1483;FIG|691.12.PEG.2373;BA890_RS01100
1484;FIG|691.12.PEG.2374;BA890_RS01095
1485;FIG|691.12.PEG.2375;BA890_RS01090
1486;FIG|691.12.PEG.2376;BA890_RS01085
1487;FIG|691.12.PEG.2377;BA890_RS01080
1488;FIG|691.12.PEG.2378;BA890_RS01075
1489;FIG|691.12.PEG.2379;BA890_RS01070
1490;FIG|691.12.PEG.238;BA890_RS11820
1491;FIG|691.12.PEG.2380;BA890_RS01065
1492;FIG|691.12.PEG.2381;BA890_RS01060
1493;FIG|691.12.PEG.2382;BA890_RS01055
1494;FIG|691.12.PEG.2383;BA890_RS01050
1495;FIG|691.12.PEG.2384;BA890_RS01045
1496;FIG|691.12.PEG.2385;BA890_RS01040
1497;FIG|691.12.PEG.2386;BA890_RS01035
1498;FIG|691.12.PEG.2387;BA890_RS01030
1499;FIG|691.12.PEG.2388;BA890_RS01025
1500;FIG|691.12.PEG.2389;BA890_RS01020
1501;FIG|691.12.PEG.239;BA890_RS11815
1502;FIG|691.12.PEG.2390;BA890_RS01015
1503;FIG|691.12.PEG.2391;BA890_RS01010
1504;FIG|691.12.PEG.2392;BA890_RS01005
1505;FIG|691.12.PEG.2393;BA890_RS01000
1506;FIG|691.12.PEG.2394;BA890_RS00995
1507;FIG|691.12.PEG.2395;BA890_RS00990
1508;FIG|691.12.PEG.2396;BA890_RS00985
1509;FIG|691.12.PEG.2397;BA890_RS00980
1510;FIG|691.12.PEG.2398;BA890_RS00975
1511;FIG|691.12.PEG.2399;BA890_RS00970
1512;FIG|691.12.PEG.24;BA890_RS13965
1513;FIG|691.12.PEG.240;BA890_RS11810
1514;FIG|691.12.PEG.2400;BA890_RS00965
1515;FIG|691.12.PEG.2401;BA890_RS00960
1516;FIG|691.12.PEG.2402;BA890_RS00955
1517;FIG|691.12.PEG.2403;BA890_RS00950
1518;FIG|691.12.PEG.2404;BA890_RS00945
1519;FIG|691.12.PEG.2405;BA890_RS00940
1520;FIG|691.12.PEG.2406;BA890_RS00935
1521;FIG|691.12.PEG.2407;BA890_RS00930
1522;FIG|691.12.PEG.2408;BA890_RS00925
1523;FIG|691.12.PEG.2409;BA890_RS00920
1524;FIG|691.12.PEG.241;BA890_RS11805
1525;FIG|691.12.PEG.2410;BA890_RS00915
1526;FIG|691.12.PEG.2411;BA890_RS00910
1527;FIG|691.12.PEG.2412;BA890_RS00905
1528;FIG|691.12.PEG.2413;BA890_RS00900
1529;FIG|691.12.PEG.2414;BA890_RS00895
1530;FIG|691.12.PEG.2415;BA890_RS00890
1531;FIG|691.12.PEG.2416;BA890_RS00885
1532;FIG|691.12.PEG.2417;BA890_RS00880
1533;FIG|691.12.PEG.2418;BA890_RS00875
1534;FIG|691.12.PEG.2419;BA890_RS00870
1535;FIG|691.12.PEG.242;BA890_RS11800
1536;FIG|691.12.PEG.2420;BA890_RS00865
1537;FIG|691.12.PEG.2421;BA890_RS00860
1538;FIG|691.12.PEG.2422;BA890_RS00855
1539;FIG|691.12.PEG.2423;BA890_RS00850
1540;FIG|691.12.PEG.2424;BA890_RS00845
1541;FIG|691.12.PEG.2425;BA890_RS00835
1542;FIG|691.12.PEG.2426;BA890_RS00830
1543;FIG|691.12.PEG.2427;BA890_RS00825
1544;FIG|691.12.PEG.2428;BA890_RS00820
1545;FIG|691.12.PEG.2429;BA890_RS00815
1546;FIG|691.12.PEG.243;BA890_RS11795
1547;FIG|691.12.PEG.2430;BA890_RS00810
1548;FIG|691.12.PEG.2431;BA890_RS00805
1549;FIG|691.12.PEG.2432;BA890_RS00800
1550;FIG|691.12.PEG.2433;BA890_RS00795
1551;FIG|691.12.PEG.2434;BA890_RS00790
1552;FIG|691.12.PEG.2435;BA890_RS00785
1553;FIG|691.12.PEG.2436;BA890_RS00780
1554;FIG|691.12.PEG.2437;BA890_RS00775
1555;FIG|691.12.PEG.2439;BA890_RS00770
1556;FIG|691.12.PEG.244;BA890_RS11790
1557;FIG|691.12.PEG.2440;BA890_RS00765
1558;FIG|691.12.PEG.2441;BA890_RS00760
1559;FIG|691.12.PEG.2442;BA890_RS00755
1560;FIG|691.12.PEG.2443;BA890_RS00750
1561;FIG|691.12.PEG.2444;BA890_RS00745
1562;FIG|691.12.PEG.2445;BA890_RS00740
1563;FIG|691.12.PEG.2446;BA890_RS00735
1564;FIG|691.12.PEG.2447;BA890_RS00730
1565;FIG|691.12.PEG.2448;BA890_RS00725
1566;FIG|691.12.PEG.2449;BA890_RS00720
1567;FIG|691.12.PEG.245;BA890_RS11785
1568;FIG|691.12.PEG.2450;BA890_RS00715
1569;FIG|691.12.PEG.2451;BA890_RS00710
1570;FIG|691.12.PEG.2452;BA890_RS00705
1571;FIG|691.12.PEG.2453;BA890_RS00700
1572;FIG|691.12.PEG.2454;BA890_RS00695
1573;FIG|691.12.PEG.2455;BA890_RS00690
1574;FIG|691.12.PEG.2456;BA890_RS00685
1575;FIG|691.12.PEG.2457;BA890_RS00680
1576;FIG|691.12.PEG.2458;BA890_RS00675
1577;FIG|691.12.PEG.2459;BA890_RS00670
1578;FIG|691.12.PEG.246;BA890_RS11780
1579;FIG|691.12.PEG.2460;BA890_RS00665
1580;FIG|691.12.PEG.2461;BA890_RS00660
1581;FIG|691.12.PEG.2462;BA890_RS00655
1582;FIG|691.12.PEG.2463;BA890_RS00650
1583;FIG|691.12.PEG.2464;BA890_RS00645
1584;FIG|691.12.PEG.2465;BA890_RS00640
1585;FIG|691.12.PEG.2466;BA890_RS00635
1586;FIG|691.12.PEG.2467;BA890_RS00630
1587;FIG|691.12.PEG.2468;BA890_RS00625
1588;FIG|691.12.PEG.2469;BA890_RS00620
1589;FIG|691.12.PEG.247;BA890_RS11775
1590;FIG|691.12.PEG.2470;BA890_RS00615
1591;FIG|691.12.PEG.2471;BA890_RS00610
1592;FIG|691.12.PEG.2472;BA890_RS00605
1593;FIG|691.12.PEG.2473;BA890_RS00600
1594;FIG|691.12.PEG.2474;BA890_RS00595
1595;FIG|691.12.PEG.2475;BA890_RS00590
