,FIG,NCBI_protein_ID,NCBI_chr,NCBI_locus,NCBI_protein_desc,NCBI_location
2385,FIG|691.12.PEG.2471,ALR16790.1,CP009977.1,PN96_12720,phosphoenolpyruvate carboxykinase,2777734..2779362
2386,FIG|691.12.PEG.2472,ALR16791.1,CP009977.1,PN96_12725,AsmA family protein,2779506..2781566
2387,FIG|691.12.PEG.2473,ALR16792.1,CP009977.1,PN96_12730,hypothetical protein,complement(2781552..2782469)
2388,FIG|691.12.PEG.2474,ALR16793.1,CP009977.1,PN96_12735,D-tyrosyl-tRNA(Tyr) deacylase,complement(2782576..2783010)
2389,FIG|691.12.PEG.2475,ALR16794.1,CP009977.1,PN96_12740,membrane protein,complement(2782982..2783926)
2390,FIG|691.12.PEG.2476,ALR16795.1,CP009977.1,PN96_12745,DNA repair protein,2783962..2784603
2391,FIG|691.12.PEG.2477,ALR16796.1,CP009977.1,PN96_12750,ATPase,complement(2784626..2785183)
2392,FIG|691.12.PEG.2478,ALR16797.1,CP009977.1,PN96_12755,GTP-binding protein TypA,complement(2785264..2787093)
2393,FIG|691.12.PEG.2479,ALR16798.1,CP009977.1,PN96_12760,glutamine synthetase,2787631..2789040
2394,FIG|691.12.PEG.2480,ALR16799.1,CP009977.1,PN96_12765,nitrogen regulation protein NR,2789242..2789823
2395,FIG|691.12.PEG.2481,ALR16800.1,CP009977.1,PN96_12770,nitrogen regulation protein NR(II),2789954..2791000
2396,FIG|691.12.PEG.2482,ALR16801.1,CP009977.1,PN96_12775,nitrogen regulation protein NR(I),2791051..2792454
2397,FIG|691.12.PEG.2483,ALR16802.1,CP009977.1,PN96_12780,diguanylate cyclase,2792544..2795090
2398,FIG|691.12.PEG.2484,ALR16803.1,CP009977.1,PN96_12785,adenosine deaminase,2795238..2796242
2399,FIG|691.12.PEG.2485,ALR16804.1,CP009977.1,PN96_12790,coproporphyrinogen III oxidase,complement(2796310..2797701)
2400,FIG|691.12.PEG.2486,ALR16805.1,CP009977.1,PN96_12795,coproporphyrinogen III oxidase,complement(2797920..2798408)
2401,FIG|691.12.PEG.2487,ALR16806.1,CP009977.1,PN96_12800,aminotransferase,complement(2798416..2798958)
2402,FIG|691.12.PEG.2488,ALR16807.1,CP009977.1,PN96_12805,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase",complement(2798958..2799596)
2403,FIG|691.12.PEG.2491,ALR16809.1,CP009977.1,PN96_12815,cytochrome C,complement(2800389..2801006)
2404,FIG|691.12.PEG.2492,ALR16810.1,CP009977.1,PN96_12820,GTP-binding protein,2801166..2801825
2405,FIG|691.12.PEG.2493,ALR16811.1,CP009977.1,PN96_12825,DNA polymerase I,complement(2802582..2805374)
2406,FIG|691.12.PEG.2494,ALR16812.1,CP009977.1,PN96_12830,hypothetical protein,2805668..2805865
2407,FIG|691.12.PEG.2495,ALR16813.1,CP009977.1,PN96_12835,acetyltransferase,complement(2806004..2806438)
2408,FIG|691.12.PEG.2496,ALR17282.1,CP009977.1,PN96_12840,delta-aminolevulinic acid dehydratase,complement(2806579..2807640)
2409,FIG|691.12.PEG.2497,ALR16814.1,CP009977.1,PN96_12845,hydrolase TatD,2807825..2808598
2410,FIG|691.12.PEG.2498,ALR17283.1,CP009977.1,PN96_12850,sodium:proton antiporter,2808708..2809895
2411,FIG|691.12.PEG.2499,ALR16815.1,CP009977.1,PN96_12855,twin-arginine protein translocation system subunit TatC,complement(2810252..2810998)
2412,FIG|691.12.PEG.2500,ALR16816.1,CP009977.1,PN96_12860,preprotein translocase subunit TatB,complement(2811066..2811464)
2413,FIG|691.12.PEG.2501,ALR16817.1,CP009977.1,PN96_12865,preprotein translocase subunit SecA,complement(2811468..2811734)
2414,FIG|691.12.PEG.2502,ALR16818.1,CP009977.1,PN96_12870,ubiquinone biosynthesis protein UbiB,complement(2811784..2813418)
2415,FIG|691.12.PEG.2503,ALR16819.1,CP009977.1,PN96_12875,membrane protein,complement(2813415..2814050)
2416,FIG|691.12.PEG.2504,ALR16820.1,CP009977.1,PN96_12880,ubiquinone biosynthesis methyltransferase UbiE,complement(2814062..2814841)
2417,FIG|691.12.PEG.2505,ALR16821.1,CP009977.1,PN96_12885,DNA recombination protein RmuC,complement(2814919..2816451)
2418,FIG|691.12.PEG.2506,ALR16822.1,CP009977.1,PN96_12890,membrane protein,2816621..2817529
2419,FIG|691.12.PEG.2507,ALR16823.1,CP009977.1,PN96_12895,diguanylate cyclase,2817683..2820136
2420,FIG|691.12.PEG.2508,ALR17284.1,CP009977.1,PN96_12900,hypothetical protein,complement(2820199..2820891)
2421,FIG|691.12.PEG.2509,ALR16824.1,CP009977.1,PN96_12905,ATP-binding cassette subfamily C protein,complement(2821221..2822867)
2422,FIG|691.12.PEG.2510,ALR16825.1,CP009977.1,PN96_12910,ATPase,complement(2822864..2824462)
2423,FIG|691.12.PEG.2511,ALR16826.1,CP009977.1,PN96_12915,hypothetical protein,complement(2824459..2824860)
2424,FIG|691.12.PEG.2512,ALR16827.1,CP009977.1,PN96_12920,heme utilization protein,complement(2824966..2825496)
2425,FIG|691.12.PEG.2513,ALR17285.1,CP009977.1,PN96_12925,pilus assembly protein TadG,complement(2825519..2826898)
2426,FIG|691.12.PEG.2514,ALR16828.1,CP009977.1,PN96_12930,hypothetical protein,complement(2826922..2827425)
2427,FIG|691.12.PEG.2515,ALR16829.1,CP009977.1,PN96_12935,hypothetical protein,complement(2827428..2827904)
2428,FIG|691.12.PEG.2516,ALR17286.1,CP009977.1,PN96_12940,pilus assembly protein TadD,complement(2827901..2828668)
2429,FIG|691.12.PEG.2517,ALR17287.1,CP009977.1,PN96_12945,pilus assembly protein TadC,complement(2828668..2829549)
2430,FIG|691.12.PEG.2518,ALR16830.1,CP009977.1,PN96_12950,pilus assembly protein TadB,complement(2829592..2830491)
2431,FIG|691.12.PEG.2519,ALR16831.1,CP009977.1,PN96_12955,pilus assembly protein CpaF,complement(2830488..2831789)
2432,FIG|691.12.PEG.2520,ALR16832.1,CP009977.1,PN96_12960,pilus assembly protein CpaE,complement(2831794..2832921)
2433,FIG|691.12.PEG.2521,ALR17288.1,CP009977.1,PN96_12965,pilus assembly protein FlpD,complement(2832925..2833482)
2434,FIG|691.12.PEG.2522,ALR16833.1,CP009977.1,PN96_12970,secretin,complement(2833491..2834915)
2435,FIG|691.12.PEG.2523,ALR16834.1,CP009977.1,PN96_12975,pilus assembly protein CpaB,complement(2834919..2835761)
2436,FIG|691.12.PEG.2525,ALR17289.1,CP009977.1,PN96_12985,pilin,complement(2836252..2836440)
2437,FIG|691.12.PEG.2526,ALR16836.1,CP009977.1,PN96_12990,hypothetical protein,2836720..2840244
2438,FIG|691.12.PEG.2527,ALR16837.1,CP009977.1,PN96_12995,hypothetical protein,2840258..2840956
2439,FIG|691.12.PEG.2528,ALR16838.1,CP009977.1,PN96_13000,membrane protein,complement(2841044..2842237)
2440,FIG|691.12.PEG.2529,ALR16839.1,CP009977.1,PN96_13005,universal stress protein UspB,complement(2842394..2842717)
2441,FIG|691.12.PEG.2530,ALR16840.1,CP009977.1,PN96_13010,ferritin,complement(2842809..2843336)
2442,FIG|691.12.PEG.2531,ALR16841.1,CP009977.1,PN96_13015,universal stress global response regulator UspA,2843564..2843989
2443,FIG|691.12.PEG.2532,ALR16842.1,CP009977.1,PN96_13020,membrane protein,2844054..2844932
2444,FIG|691.12.PEG.2533,ALR16843.1,CP009977.1,PN96_13025,hypothetical protein,complement(2844991..2845563)
2445,FIG|691.12.PEG.2534,ALR17290.1,CP009977.1,PN96_13030,16S rRNA methyltransferase,complement(2845747..2846526)
2446,FIG|691.12.PEG.2535,ALR16844.1,CP009977.1,PN96_13035,transcriptional regulator,2846648..2847112
2447,FIG|691.12.PEG.2536,ALR16845.1,CP009977.1,PN96_13040,oligopeptidase A,complement(2847182..2849224)
2448,FIG|691.12.PEG.2537,ALR16846.1,CP009977.1,PN96_13045,ribosomal RNA large subunit methyltransferase J,2849612..2850451
2449,FIG|691.12.PEG.2538,ALR16847.1,CP009977.1,PN96_13050,glutathione reductase,2850713..2852068
2450,FIG|691.12.PEG.2539,ALR16848.1,CP009977.1,PN96_13055,HuvX protein,complement(2852260..2852784)
2451,FIG|691.12.PEG.2540,ALR16849.1,CP009977.1,PN96_13060,ketohydroxyglutarate aldolase,complement(2853133..2853747)
2452,FIG|691.12.PEG.2541,ALR16850.1,CP009977.1,PN96_13065,permease,complement(2853757..2855133)
2453,FIG|691.12.PEG.2543,ALR16851.1,CP009977.1,PN96_13070,gluconate kinase,2855287..2855814
2454,FIG|691.12.PEG.2544,ALR16852.1,CP009977.1,PN96_13075,phosphogluconate dehydratase,2855811..2857607
2455,FIG|691.12.PEG.2545,ALR17291.1,CP009977.1,PN96_13080,transcriptional regulator,complement(2857670..2858677)
2456,FIG|691.12.PEG.2546,ALR16853.1,CP009977.1,PN96_13085,sporulation protein,complement(2858904..2859884)
2457,FIG|691.12.PEG.2547,ALR16854.1,CP009977.1,PN96_13090,ABC transporter permease,complement(2860041..2860985)
2458,FIG|691.12.PEG.2548,ALR16855.1,CP009977.1,PN96_13095,ABC transporter permease,complement(2860988..2861965)
2459,FIG|691.12.PEG.2549,ALR16856.1,CP009977.1,PN96_13100,cytochrome C,complement(2862142..2863695)
2460,FIG|691.12.PEG.2550,ALR16857.1,CP009977.1,PN96_13105,ABC transporter ATP-binding protein,complement(2863784..2865499)
2461,FIG|691.12.PEG.2551,ALR16858.1,CP009977.1,PN96_13110,HAD family hydrolase,2866184..2866909
2462,FIG|691.12.PEG.2552,ALR17292.1,CP009977.1,PN96_13140,cytochrome C,2868087..2868500
2463,FIG|691.12.PEG.2553,ALR16859.1,CP009977.1,PN96_13145,ATP-dependent DNA helicase Rep,complement(2868584..2870599)
2464,FIG|691.12.PEG.2554,ALR16860.1,CP009977.1,PN96_13150,TetR family transcriptional regulator,2870764..2871378
2465,FIG|691.12.PEG.2555,ALR16861.1,CP009977.1,PN96_13155,membrane protein,2871396..2872502
2466,FIG|691.12.PEG.2556,ALR16862.1,CP009977.1,PN96_13160,transporter,2872514..2875636
2467,FIG|691.12.PEG.2558,ALR16863.1,CP009977.1,PN96_13165,cytoplasmic protein,2875785..2876036
2468,FIG|691.12.PEG.2559,ALR16864.1,CP009977.1,PN96_13170,ketol-acid reductoisomerase,complement(2876238..2877722)
2469,FIG|691.12.PEG.2560,ALR16865.1,CP009977.1,PN96_13175,transcriptional regulator,2877860..2878750
2470,FIG|691.12.PEG.2561,ALR16866.1,CP009977.1,PN96_13180,transcriptional regulator,2878962..2879636
2471,FIG|691.12.PEG.2562,ALR16867.1,CP009977.1,PN96_13185,ATPase,2879620..2880906
2472,FIG|691.12.PEG.2563,ALR16868.1,CP009977.1,PN96_13190,PTS glucose transporter subunit IIBC,complement(2880963..2882450)
2473,FIG|691.12.PEG.2564,ALR16869.1,CP009977.1,PN96_13225,protoporphyrinogen oxidase,complement(2888388..2888915)
2474,FIG|691.12.PEG.2565,ALR16870.1,CP009977.1,PN96_13230,potassium transporter,complement(2888925..2890382)
2475,FIG|691.12.PEG.2566,ALR16871.1,CP009977.1,PN96_13235,elongation factor,complement(2890429..2891052)
2476,FIG|691.12.PEG.2567,ALR16872.1,CP009977.1,PN96_13240,multifunctional fatty acid oxidation complex subunit alpha,2891325..2893496
2477,FIG|691.12.PEG.2568,ALR16873.1,CP009977.1,PN96_13245,3-ketoacyl-CoA thiolase,2893512..2894687
2478,FIG|691.12.PEG.2569,ALR16874.1,CP009977.1,PN96_13250,quinone oxidoreductase,2894946..2895926
2479,FIG|691.12.PEG.2570,ALR17293.1,CP009977.1,PN96_13255,LysR family transcriptional regulator,complement(2895982..2896923)
2480,FIG|691.12.PEG.2571,ALR16875.1,CP009977.1,PN96_13260,membrane protein,complement(2897089..2897271)
2481,FIG|691.12.PEG.2572,ALR16876.1,CP009977.1,PN96_13265,sulfurtransferase,2897404..2897652
2482,FIG|691.12.PEG.2573,ALR16877.1,CP009977.1,PN96_13270,NADH dehydrogenase,complement(2897686..2897946)
2483,FIG|691.12.PEG.2574,ALR16878.1,CP009977.1,PN96_13275,membrane protein,complement(2898153..2898707)
2484,FIG|691.12.PEG.2575,ALR16879.1,CP009977.1,PN96_13280,glycyl-tRNA synthetase,2899191..2900111
2485,FIG|691.12.PEG.2576,ALR16880.1,CP009977.1,PN96_13285,glycine-tRNA synthetase subunit beta,2900126..2902192
2486,FIG|691.12.PEG.2577,ALR16881.1,CP009977.1,PN96_13290,alpha-amylase,2902424..2904508
2487,FIG|691.12.PEG.2578,ALR16882.1,CP009977.1,PN96_13295,valine--pyruvate aminotransferase,2904735..2905988
2488,FIG|691.12.PEG.2579,ALR16883.1,CP009977.1,PN96_13300,heat-shock protein Hsp20,complement(2906053..2906490)
2489,FIG|691.12.PEG.2580,ALR16884.1,CP009977.1,PN96_13305,DNA gyrase subunit B,complement(2906924..2909341)
2490,FIG|691.12.PEG.2581,ALR16885.1,CP009977.1,PN96_13310,recombination protein F,complement(2909355..2910434)
2491,FIG|691.12.PEG.2582,ALR16886.1,CP009977.1,PN96_13315,DNA polymerase III subunit beta,complement(2910444..2911544)
2492,FIG|691.12.PEG.2583,ALR16887.1,CP009977.1,PN96_13320,chromosomal replication initiation protein,complement(2911608..2913014)
2493,FIG|691.12.PEG.2585,ALR16888.1,CP009977.1,PN96_13325,amino acid ABC transporter substrate-binding protein,2913440..2914186
2494,FIG|691.12.PEG.2586,ALR16889.1,CP009977.1,PN96_13330,ABC transporter permease,2914299..2914970
2495,FIG|691.12.PEG.2587,ALR16890.1,CP009977.1,PN96_13335,amino acid ABC transporter ATP-binding protein,2914967..2915704
2496,FIG|691.12.PEG.2588,ALR16891.1,CP009977.1,PN96_13340,50S ribosomal protein L34,2915946..2916080
2497,FIG|691.12.PEG.2589,ALR16892.1,CP009977.1,PN96_13345,ribonuclease P,2916094..2916450
2498,FIG|691.12.PEG.2590,ALR16893.1,CP009977.1,PN96_13350,membrane protein insertase,2916677..2918299
2499,FIG|691.12.PEG.2591,ALR16894.1,CP009977.1,PN96_13355,tRNA modification GTPase TrmE,2918433..2919794
2500,FIG|691.12.PEG.2592,ALR16895.1,CP009977.1,PN96_13360,FMN-binding protein MioC,2919890..2920324
2501,FIG|691.12.PEG.2594,ALR16896.1,CP009977.1,PN96_13365,tRNA uridine 5-carboxymethylaminomethyl modification protein,2920801..2922696
2502,FIG|691.12.PEG.2595,ALR16897.1,CP009977.1,PN96_13370,16S rRNA methyltransferase,2922696..2923331
2503,FIG|691.12.PEG.2596,ALR16898.1,CP009977.1,PN96_13375,cobalamin biosynthesis protein CobQ,2923344..2924117
2504,FIG|691.12.PEG.2597,ALR16899.1,CP009977.1,PN96_13380,chromosome partitioning protein ParB,2924142..2925023
2505,FIG|691.12.PEG.2598,ALR16900.1,CP009977.1,PN96_13385,ATP F0F1 synthase subunit I,2925213..2925602
2506,FIG|691.12.PEG.2599,ALR16901.1,CP009977.1,PN96_13390,ATP synthase F0F1 subunit A,2925611..2926423
2507,FIG|691.12.PEG.2600,ALR16902.1,CP009977.1,PN96_13395,ATP synthase F0F1 subunit C,2926480..2926734
2508,FIG|691.12.PEG.2601,ALR16903.1,CP009977.1,PN96_13400,ATP F0F1 synthase subunit B,2926806..2927276
2509,FIG|691.12.PEG.2602,ALR16904.1,CP009977.1,PN96_13405,ATP F0F1 synthase subunit delta,2927291..2927824
2510,FIG|691.12.PEG.2603,ALR16905.1,CP009977.1,PN96_13410,ATP F0F1 synthase subunit alpha,2927838..2929379
2511,FIG|691.12.PEG.2604,ALR16906.1,CP009977.1,PN96_13415,ATP F0F1 synthase subunit gamma,2929424..2930290
2512,FIG|691.12.PEG.2605,ALR16907.1,CP009977.1,PN96_13420,ATP synthase F0F1 subunit beta,2930326..2931729
2513,FIG|691.12.PEG.2606,ALR16908.1,CP009977.1,PN96_13425,ATP synthase F0F1 subunit epsilon,2931748..2932170
2514,FIG|691.12.PEG.2607,ALR16909.1,CP009977.1,PN96_13430,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,2932320..2933681
2515,FIG|691.12.PEG.2608,ALR17294.1,CP009977.1,PN96_13435,amino acid ABC transporter permease,complement(2933767..2934510)
2516,FIG|691.12.PEG.2609,ALR16910.1,CP009977.1,PN96_13440,cyclohexadienyl dehydratase,2934626..2935402
2517,FIG|691.12.PEG.2610,ALR16911.1,CP009977.1,PN96_13445,transporter,complement(2935468..2936667)
2518,FIG|691.12.PEG.2611,ALR16912.1,CP009977.1,PN96_13450,transcriptional regulator,2936821..2937723
2519,FIG|691.12.PEG.2612,ALR16913.1,CP009977.1,PN96_13455,threonine dehydratase,complement(2937771..2939318)
2520,FIG|691.12.PEG.2613,ALR16914.1,CP009977.1,PN96_13460,dihydroxy-acid dehydratase,complement(2939321..2941162)
2521,FIG|691.12.PEG.2615,ALR16915.1,CP009977.1,PN96_13465,acetolactate synthase,complement(2941330..2941614)
2522,FIG|691.12.PEG.2616,ALR16916.1,CP009977.1,PN96_13470,acetolactate synthase catalytic subunit,complement(2941626..2943272)
2523,FIG|691.12.PEG.2617,ALR16917.1,CP009977.1,PN96_13475,ATP-dependent protease,2943740..2945263
2524,FIG|691.12.PEG.2618,ALR16918.1,CP009977.1,PN96_13480,hypothetical protein,complement(2945295..2946251)
2525,FIG|691.12.PEG.2619,ALR16919.1,CP009977.1,PN96_13485,acyltransferase,2946491..2947369
2526,FIG|691.12.PEG.2620,ALR16920.1,CP009977.1,PN96_13490,thiol:disulfide interchange protein,complement(2947413..2948015)
2527,FIG|691.12.PEG.2621,ALR17295.1,CP009977.1,PN96_13495,serine/threonine protein kinase,complement(2948049..2949035)
2528,FIG|691.12.PEG.2622,ALR16921.1,CP009977.1,PN96_13500,4Fe-4S ferredoxin,complement(2949090..2950511)
2529,FIG|691.12.PEG.2623,ALR16922.1,CP009977.1,PN96_13505,hypothetical protein,complement(2950791..2951057)
2530,FIG|691.12.PEG.2625,ALR16923.1,CP009977.1,PN96_13510,Gram-positive sporulation control protein Spo0M,2951633..2952445
2531,FIG|691.12.PEG.2626,ALR16924.1,CP009977.1,PN96_13515,hemolysin,2952511..2953164
2532,FIG|691.12.PEG.2627,ALR16925.1,CP009977.1,PN96_13520,ribonuclease,complement(2953198..2953791)
2533,FIG|691.12.PEG.2628,ALR16926.1,CP009977.1,PN96_13525,potassium transporter TrkH,complement(2953817..2955262)
2534,FIG|691.12.PEG.2629,ALR16927.1,CP009977.1,PN96_13530,potassium transporter peripheral membrane component,complement(2955272..2956648)
2535,FIG|691.12.PEG.2630,ALR16928.1,CP009977.1,PN96_13535,16S rRNA methyltransferase,complement(2956712..2957995)
2536,FIG|691.12.PEG.2631,ALR16929.1,CP009977.1,PN96_13540,methionyl-tRNA formyltransferase,complement(2958078..2959025)
2537,FIG|691.12.PEG.2632,ALR16930.1,CP009977.1,PN96_13545,peptide deformylase,complement(2959060..2959578)
2538,FIG|691.12.PEG.2633,ALR16931.1,CP009977.1,PN96_13550,peptidoglycan-binding protein,2959717..2960811
2539,FIG|691.12.PEG.2634,ALR16932.1,CP009977.1,PN96_13555,DNA processing protein DprA,2960795..2961904
2540,FIG|691.12.PEG.2635,ALR16933.1,CP009977.1,PN96_13560,hypothetical protein,2961907..2962386
2541,FIG|691.12.PEG.2636,ALR16934.1,CP009977.1,PN96_13565,DNA topoisomerase,2962469..2963038
2542,FIG|691.12.PEG.2637,ALR16935.1,CP009977.1,PN96_13570,phosphoribosylaminoimidazole carboxylase,complement(2963099..2964232)
2543,FIG|691.12.PEG.2638,ALR16936.1,CP009977.1,PN96_13575,N5-carboxyaminoimidazole ribonucleotide mutase,complement(2964237..2964722)
2544,FIG|691.12.PEG.2639,ALR16937.1,CP009977.1,PN96_13580,tRNA threonylcarbamoyladenosine biosynthesis protein RimN,2964928..2965485
2545,FIG|691.12.PEG.2640,ALR16938.1,CP009977.1,PN96_13585,coproporphyrinogen III oxidase,2965534..2966451
2546,FIG|691.12.PEG.2641,ALR16939.1,CP009977.1,PN96_13590,shikimate dehydrogenase,2966554..2967387
2547,FIG|691.12.PEG.2642,ALR16940.1,CP009977.1,PN96_13595,transcriptional regulator,2967391..2967654
2548,FIG|691.12.PEG.2643,ALR16941.1,CP009977.1,PN96_13600,anhydrase,complement(2967671..2968219)
2549,FIG|691.12.PEG.2644,ALR16942.1,CP009977.1,PN96_13650,copper oxidase,2974708..2976087
2550,FIG|691.12.PEG.2645,ALR16943.1,CP009977.1,PN96_13655,camphor resistance protein CrcB,2976226..2976612
2551,FIG|691.12.PEG.2646,ALR16944.1,CP009977.1,PN96_13660,thiamine biosynthesis protein ThiC,2977041..2978981
2552,FIG|691.12.PEG.2647,ALR16945.1,CP009977.1,PN96_13665,thiamine-phosphate pyrophosphorylase,2978981..2980306
2553,FIG|691.12.PEG.2648,ALR17296.1,CP009977.1,PN96_13670,molybdopterin-synthase adenylyltransferase,2980296..2981072
2554,FIG|691.12.PEG.2649,ALR17297.1,CP009977.1,PN96_13675,thiamine biosynthesis protein ThiS,2981122..2981355
2555,FIG|691.12.PEG.2650,ALR16946.1,CP009977.1,PN96_13680,thiazole synthase,2981361..2982128
2556,FIG|691.12.PEG.2651,ALR16947.1,CP009977.1,PN96_13685,thiamine biosynthesis protein ThiH,2982144..2983271
2557,FIG|691.12.PEG.2652,ALR16948.1,CP009977.1,PN96_13690,X-Pro aminopeptidase,complement(2983430..2985220)
2558,FIG|691.12.PEG.2653,ALR16949.1,CP009977.1,PN96_13695,LysR family transcriptional regulator,complement(2985409..2986350)
2559,FIG|691.12.PEG.2654,ALR17298.1,CP009977.1,PN96_13700,MFS transporter,2986490..2987650
2560,FIG|691.12.PEG.2655,ALR16950.1,CP009977.1,PN96_13705,hypothetical protein,2987742..2988026
2561,FIG|691.12.PEG.2656,ALR16951.1,CP009977.1,PN96_13710,membrane protein,complement(2988054..2988509)
2562,FIG|691.12.PEG.2657,ALR16952.1,CP009977.1,PN96_13715,hypothetical protein,complement(2988520..2989275)
2563,FIG|691.12.PEG.2658,ALR16953.1,CP009977.1,PN96_13720,hypothetical protein,complement(2989272..2990144)
2564,FIG|691.12.PEG.2659,ALR16954.1,CP009977.1,PN96_13725,membrane protein,complement(2990230..2990490)
2565,FIG|691.12.PEG.2660,ALR16955.1,CP009977.1,PN96_13730,DNA-dependent helicase II,2990771..2992945
2566,FIG|691.12.PEG.2661,ALR16956.1,CP009977.1,PN96_13735,gamma-glutamyltransferase,complement(2993626..2995392)
2567,FIG|691.12.PEG.2662,ALR16957.1,CP009977.1,PN96_13740,threonine transporter,complement(2995502..2996161)
2568,FIG|691.12.PEG.2663,ALR16958.1,CP009977.1,PN96_13745,AraC family transcriptional regulator,complement(2996253..2997050)
2569,FIG|691.12.PEG.2664,ALR16959.1,CP009977.1,PN96_13750,chloramphenical resistance permease RarD,complement(2997124..2998038)
2570,FIG|691.12.PEG.2665,ALR16960.1,CP009977.1,PN96_13755,ATP-dependent DNA helicase RecQ,2998212..3000047
2571,FIG|691.12.PEG.2666,ALR16961.1,CP009977.1,PN96_13760,aminopeptidase,3000057..3000362
2572,FIG|691.12.PEG.2667,ALR16962.1,CP009977.1,PN96_13765,hypothetical protein,3000604..3001272
2573,FIG|691.12.PEG.2668,ALR16963.1,CP009977.1,PN96_13770,guanosine polyphosphate pyrophosphohydrolase,complement(3001466..3002959)
2574,FIG|691.12.PEG.2669,ALR16964.1,CP009977.1,PN96_13775,RNA helicase,complement(3002978..3004291)
2575,FIG|691.12.PEG.2670,ALR16965.1,CP009977.1,PN96_13780,thioredoxin,3004403..3004729
2576,FIG|691.12.PEG.2671,ALR16966.1,CP009977.1,PN96_13785,transcription termination factor Rho,3004925..3006184
2577,FIG|691.12.PEG.2672,ALR16967.1,CP009977.1,PN96_13790,hypothetical protein,3006293..3007288
2578,FIG|691.12.PEG.2673,ALR16968.1,CP009977.1,PN96_13795,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,3007384..3009237
2579,FIG|691.12.PEG.2674,ALR16969.1,CP009977.1,PN96_13800,ferredoxin,3009234..3009503
2580,FIG|691.12.PEG.2675,ALR16970.1,CP009977.1,PN96_13805,FMN reductase,3009518..3010231
2581,FIG|691.12.PEG.2677,ALR16971.1,CP009977.1,PN96_13845,transposase,complement(3016673..3017161)
2582,FIG|691.12.PEG.2678,ALR16972.1,CP009977.1,PN96_13850,heme biosynthesis protein HemY,complement(3017915..3019096)
2583,FIG|691.12.PEG.2679,ALR16973.1,CP009977.1,PN96_13855,uroporphyrin-III methyltransferase,complement(3019096..3020307)
2584,FIG|691.12.PEG.2680,ALR16974.1,CP009977.1,PN96_13860,uroporphyrinogen-III synthase,complement(3020325..3021053)
2585,FIG|691.12.PEG.2681,ALR16975.1,CP009977.1,PN96_13865,porphobilinogen deaminase,complement(3021056..3021994)
2586,FIG|691.12.PEG.2682,ALR16976.1,CP009977.1,PN96_13870,adenylate cyclase,3022342..3024867
2587,FIG|691.12.PEG.2683,ALR16977.1,CP009977.1,PN96_13875,frataxin,complement(3024938..3025252)
2588,FIG|691.12.PEG.2685,ALR16978.1,CP009977.1,PN96_13880,diaminopimelate decarboxylase,3025505..3026758
2589,FIG|691.12.PEG.2686,ALR16979.1,CP009977.1,PN96_13885,diaminopimelate epimerase,3026769..3027599
2590,FIG|691.12.PEG.2687,ALR16980.1,CP009977.1,PN96_13890,"3',5'-cyclic-nucleotide phosphodiesterase",3027620..3028324
2591,FIG|691.12.PEG.2688,ALR16981.1,CP009977.1,PN96_13895,tyrosine recombinase XerC,3028290..3029222
2592,FIG|691.12.PEG.2689,ALR16982.1,CP009977.1,PN96_13900,2-haloalkanoic acid dehalogenase,3029231..3029947
2593,FIG|691.12.PEG.2690,ALR16983.1,CP009977.1,PN96_13905,hypothetical protein,complement(3030040..3030636)
2594,FIG|691.12.PEG.2691,ALR16984.1,CP009977.1,PN96_13910,membrane protein,complement(3030636..3032186)
2595,FIG|691.12.PEG.2692,ALR16985.1,CP009977.1,PN96_13915,hypothetical protein,3032234..3032704
2596,FIG|691.12.PEG.2693,ALR16986.1,CP009977.1,PN96_13920,hydrolase,complement(3032753..3033589)
2597,FIG|691.12.PEG.2694,ALR16987.1,CP009977.1,PN96_13925,lysophospholipase,complement(3033870..3034871)
2598,FIG|691.12.PEG.2695,ALR16988.1,CP009977.1,PN96_13930,homoserine transporter,3034937..3035554
2599,FIG|691.12.PEG.2696,ALR16989.1,CP009977.1,PN96_13935,histidine kinase,3035582..3036805
2600,FIG|691.12.PEG.2697,ALR16990.1,CP009977.1,PN96_13940,ArsR family transcriptional regulator,3036908..3037243
2601,FIG|691.12.PEG.2698,ALR16991.1,CP009977.1,PN96_13945,glyceraldehyde-3-phosphate dehydrogenase,3037294..3038295
2602,FIG|691.12.PEG.2699,ALR16992.1,CP009977.1,PN96_13950,phosphatase,3038308..3038802
2603,FIG|691.12.PEG.2700,ALR16993.1,CP009977.1,PN96_13955,MFS transporter permease,3039059..3040276
2604,FIG|691.12.PEG.2701,ALR16994.1,CP009977.1,PN96_13960,membrane protein,3040511..3041524
2605,FIG|691.12.PEG.2702,ALR16995.1,CP009977.1,PN96_13965,RNA polymerase subunit sigma,complement(3041543..3041872)
2606,FIG|691.12.PEG.2703,ALR16996.1,CP009977.1,PN96_13970,hypothetical protein,3042114..3042482
2607,FIG|691.12.PEG.2704,ALR16997.1,CP009977.1,PN96_13975,membrane protein,3043444..3044064
2608,FIG|691.12.PEG.2705,ALR16998.1,CP009977.1,PN96_13980,hypothetical protein,3044147..3044368
2609,FIG|691.12.PEG.2706,ALR16999.1,CP009977.1,PN96_13985,membrane protein,complement(3044450..3044716)
